Data;dias_uteis;dias;dias_n_uteis;dias_uteis_ok
fev/05;19;28;9;-3,5
mar/05;22;31;9;-0,5
abr/05;20;30;10;-5
mai/05;21;31;10;-4
jun/05;22;30;8;2
jul/05;21;31;10;-4
ago/05;23;31;8;3
set/05;21;30;9;-1,5
out/05;20;31;11;-7,5
nov/05;20;30;10;-5
dez/05;22;31;9;-0,5
jan/06;22;31;9;-0,5
fev/06;19;28;9;-3,5
mar/06;23;31;8;3
abr/06;18;30;12;-12
mai/06;22;31;9;-0,5
jun/06;21;30;9;-1,5
jul/06;21;31;10;-4
ago/06;23;31;8;3
set/06;20;30;10;-5
out/06;21;31;10;-4
nov/06;20;30;10;-5
dez/06;20;31;11;-7,5
jan/07;22;31;9;-0,5
fev/07;19;28;9;-3,5
mar/07;22;31;9;-0,5
abr/07;20;30;10;-5
mai/07;22;31;9;-0,5
jun/07;20;30;10;-5
jul/07;22;31;9;-0,5
ago/07;23;31;8;3
set/07;19;30;11;-8,5
out/07;22;31;9;-0,5
nov/07;20;30;10;-5
dez/07;20;31;11;-7,5
jan/08;22;31;9;-0,5
fev/08;20;29;9;-2,5
mar/08;20;31;11;-7,5
abr/08;21;30;9;-1,5
mai/08;20;31;11;-7,5
jun/08;21;30;9;-1,5
jul/08;23;31;8;3
ago/08;21;31;10;-4
set/08;22;30;8;2
out/08;23;31;8;3
nov/08;20;30;10;-5
dez/08;22;31;9;-0,5
jan/09;21;31;10;-4
fev/09;19;28;9;-3,5
mar/09;22;31;9;-0,5
abr/09;20;30;10;-5
mai/09;20;31;11;-7,5
jun/09;21;30;9;-1,5
jul/09;23;31;8;3
ago/09;21;31;10;-4
set/09;21;30;9;-1,5
out/09;21;31;10;-4
nov/09;20;30;10;-5
dez/09;22;31;9;-0,5
jan/10;20;31;11;-7,5
fev/10;19;28;9;-3,5
mar/10;23;31;8;3
abr/10;20;30;10;-5
mai/10;21;31;10;-4
jun/10;21;30;9;-1,5
jul/10;22;31;9;-0,5
ago/10;22;31;9;-0,5
set/10;21;30;9;-1,5
out/10;20;31;11;-7,5
nov/10;20;30;10;-5
dez/10;23;31;8;3
jan/11;21;31;10;-4
fev/11;20;28;8;0
mar/11;22;31;9;-0,5
abr/11;19;30;11;-8,5
mai/11;22;31;9;-0,5
jun/11;21;30;9;-1,5
jul/11;21;31;10;-4
ago/11;23;31;8;3
set/11;21;30;9;-1,5
out/11;20;31;11;-7,5
nov/11;20;30;10;-5
dez/11;22;31;9;-0,5
jan/12;22;31;9;-0,5
fev/12;20;29;9;-2,5
mar/12;22;31;9;-0,5
abr/12;20;30;10;-5
mai/12;22;31;9;-0,5
jun/12;20;30;10;-5
jul/12;22;31;9;-0,5
ago/12;23;31;8;3
set/12;19;30;11;-8,5
out/12;22;31;9;-0,5
nov/12;20;30;10;-5
dez/12;20;31;11;-7,5
jan/13;22;31;9;-0,5
fev/13;19;28;9;-3,5
mar/13;20;31;11;-7,5
abr/13;22;30;8;2
mai/13;21;31;10;-4
jun/13;20;30;10;-5
jul/13;23;31;8;3
ago/13;22;31;9;-0,5
set/13;21;30;9;-1,5
out/13;23;31;8;3
nov/13;20;30;10;-5
dez/13;21;31;10;-4
jan/14;22;31;9;-0,5
fev/14;20;28;8;0
mar/14;20;31;11;-7,5
abr/14;20;30;10;-5
mai/14;21;31;10;-4
jun/14;20;30;10;-5
jul/14;23;31;8;3
ago/14;21;31;10;-4
set/14;22;30;8;2
out/14;23;31;8;3
nov/14;20;30;10;-5
dez/14;22;31;9;-0,5
jan/15;21;31;10;-4
fev/15;19;28;9;-3,5
mar/15;22;31;9;-0,5
abr/15;20;30;10;-5
mai/15;20;31;11;-7,5
jun/15;21;30;9;-1,5
jul/15;23;31;8;3
ago/15;21;31;10;-4
set/15;21;30;9;-1,5
out/15;21;31;10;-4
nov/15;20;30;10;-5
dez/15;22;31;9;-0,5
jan/16;20;31;11;-7,5
fev/16;20;29;9;-2,5
mar/16;22;31;9;-0,5
abr/16;20;30;10;-5
mai/16;21;31;10;-4
jun/16;22;30;8;2
jul/16;21;31;10;-4
ago/16;23;31;8;3
set/16;21;30;9;-1,5
out/16;20;31;11;-7,5
nov/16;20;30;10;-5
dez/16;22;31;9;-0,5
jan/17;22;31;9;-0,5
fev/17;19;28;9;-3,5
mar/17;23;31;8;3
abr/17;18;30;12;-12
mai/17;22;31;9;-0,5
jun/17;21;30;9;-1,5
jul/17;21;31;10;-4
ago/17;23;31;8;3
set/17;20;30;10;-5
out/17;21;31;10;-4
nov/17;20;30;10;-5
dez/17;20;31;11;-7,5
jan/18;22;31;9;-0,5
fev/18;19;28;9;-3,5
mar/18;21;31;10;-4
abr/18;21;30;9;-1,5
mai/18;21;31;10;-4
jun/18;21;30;9;-1,5
jul/18;22;31;9;-0,5
ago/18;23;31;8;3
set/18;19;30;11;-8,5
out/18;22;31;9;-0,5
nov/18;20;30;10;-5
dez/18;20;31;11;-7,5
jan/19;22;31;9;-0,5
fev/19;20;28;8;0
mar/19;20;31;11;-7,5
abr/19;21;30;9;-1,5
mai/19;22;31;9;-0,5
jun/19;19;30;11;-8,5
jul/19;23;31;8;3
ago/19;22;31;9;-0,5
set/19;21;30;9;-1,5
out/19;23;31;8;3
nov/19;20;30;10;-5
dez/19;21;31;10;-4
jan/20;22;31;9;-0,5
fev/20;19;29;10;-6
mar/20;22;31;9;-0,5
abr/20;20;30;10;-5
mai/20;20;31;11;-7,5
jun/20;21;30;9;-1,5
jul/20;23;31;8;3
ago/20;21;31;10;-4
set/20;21;30;9;-1,5
out/20;21;31;10;-4
nov/20;20;30;10;-5
dez/20;22;31;9;-0,5
jan/21;20;31;11;-7,5
fev/21;19;28;9;-3,5
mar/21;23;31;8;3
abr/21;20;30;10;-5
mai/21;21;31;10;-4
jun/21;21;30;9;-1,5
jul/21;22;31;9;-0,5
ago/21;22;31;9;-0,5
set/21;21;30;9;-1,5
out/21;20;31;11;-7,5
nov/21;20;30;10;-5
dez/21;23;31;8;3
jan/22;21;31;10;-4
fev/22;20;28;8;0
mar/22;22;31;9;-0,5
abr/22;19;30;11;-8,5
mai/22;22;31;9;-0,5
jun/22;21;30;9;-1,5
jul/22;21;31;10;-4
ago/22;23;31;8;3
set/22;21;30;9;-1,5
out/22;20;31;11;-7,5
nov/22;20;30;10;-5
dez/22;22;31;9;-0,5
jan/23;22;31;9;-0,5
fev/23;19;28;9;-3,5
mar/23;23;31;8;3
abr/23;18;30;12;-12
mai/23;22;31;9;-0,5
jun/23;21;30;9;-1,5
jul/23;21;31;10;-4
ago/23;23;31;8;3
set/23;20;30;10;-5
out/23;21;31;10;-4
nov/23;20;30;10;-5
dez/23;20;31;11;-7,5
jan/24;22;31;9;-0,5
fev/24;20;29;9;-2,5
mar/24;20;31;11;-7,5
abr/24;22;30;8;2
mai/24;21;31;10;-4
jun/24;20;30;10;-5
jul/24;23;31;8;3
ago/24;22;31;9;-0,5
set/24;21;30;9;-1,5
out/24;23;31;8;3
nov/24;20;30;10;-5
dez/24;21;31;10;-4
jan/25;22;31;9;-0,5
fev/25;20;28;8;0
mar/25;20;31;11;-7,5
abr/25;20;30;10;-5
mai/25;21;31;10;-4
jun/25;20;30;10;-5
jul/25;23;31;8;3
ago/25;21;31;10;-4
set/25;22;30;8;2
